name,market ,funding_total_usd ,status,country_code,region,city,funding_rounds,founded_at,founded_month,found_quarter,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
Haier, Home Automation ,364000000,operating,IND,New Delhi,New Delhi,1,1/1/2010,,,,2010,4/21/2012,12/8/2013,0,0,0,0,0,0,0,0,364000000,0,0,0,0,0,0,0,0,0,0,0,0
Happiest Minds, Software ,45000000,,IND,Bangalore,Bangalore,1,1/1/2010,2011-08,3,2011-Q3,2010,4/25/2012,11/16/2011,0,45000000,0,0,0,0,0,0,0,0,0,0,0,45000000,0,0,0,0,0,0,0
Head Held High, Nonprofits ,408225,operating,IND,Bangalore,Bangalore,1,1/1/2010,2007-06,2,2007-Q2,2010,4/27/2012,8/13/2013,0,408225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HealthcareMagic, Health Care ,2500000,acquired,IND,Bangalore,Bangalore,1,1/1/2010,2008-02,1,2008-Q1,2010,4/27/2012,2/12/2009,0,2500000,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0
HealthHiway, Enterprise Software ,4000000,operating,IND,Hyderabad,Hyderabad,1,1/1/2010,,,,2010,5/1/2012,9/4/2009,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthkart, E-Commerce , NA   ,operating,IND,New Delhi,Gurgaon,1,1/1/2010,2011-03,1,2011-Q1,2010,5/1/2012,6/7/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing Plus,, NA   ,operating,IND,Kolkata,Kolkata,1,1/1/2010,,,,2010,5/1/2012,8/12/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heckyl, Finance ,4750000,operating,IND,Mumbai,Mumbai,3,1/1/2010,2010-12,4,2010-Q4,2010,5/25/2012,12/10/2013,250000,3500000,0,0,0,0,1000000,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0
Hector Beverages, Hospitality ,8000000,operating,IND,Haryana,Haryana,1,1/1/2010,2009-01,1,2009-Q1,2010,5/25/2012,5/20/2013,0,8000000,0,0,0,0,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0,0
Helical IT Solutions, Software ,2500000,operating,IND,Hyderabad,Hyderabad,1,1/1/2010,2012-01,1,2012-Q1,2010,5/31/2012,5/10/2013,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello Curry, Hospitality ,500000,operating,IND,Hyderabad,Hyderabad,1,1/1/2010,,,,2010,6/1/2012,3/7/2014,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellotravel, E-Commerce , NA   ,operating,IND,New Delhi,Noida,1,1/1/2010,2009-01,1,2009-Q1,2010,6/1/2012,5/9/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HelpingDoc, Health and Wellness ,1655236,operating,IND,New Delhi,New Delhi,2,1/1/2010,2011-11,4,2011-Q4,2010,6/1/2012,8/7/2014,155236,1500000,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0
hike, Mobile ,86000000,operating,IND,New Delhi,New Delhi,3,1/1/2010,2012-12,4,2012-Q4,2010,6/2/2012,8/26/2014,0,86000000,0,0,0,0,0,0,0,0,0,0,0,7000000,14000000,65000000,0,0,0,0,0
Hippocampus Learning Centres, Education ,20997981,operating,IND,Bangalore,Bangalore,5,1/1/2010,2010-01,1,2010-Q1,2010,6/4/2012,7/2/2014,0,20997981,0,0,0,0,0,0,0,0,0,0,0,13000000,0,0,0,0,0,0,0
Hire a 3D Pro, Marketplaces ,"10,000",operating,IND,Hyderabad,Hyderabad,1,1/1/2010,,,,2010,6/4/2012,11/10/2014,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HistoryFile, Hospitality ,"6,000",operating,IND,Kochi,Kochi,1,1/1/2010,2008-07,3,2008-Q3,2010,6/21/2012,7/25/2008,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hokey Pokey,, NA   ,operating,IND,Mumbai,Mumbai,1,1/4/2010,2011-07,3,2011-Q3,2010,6/26/2012,8/21/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holisol logistics, Logistics ,1500000,operating,IND,New Delhi,New Delhi,1,1/15/2010,2009-01,1,2009-Q1,2010,6/28/2012,8/25/2014,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HomeShop18, E-Commerce ,65000000,,IND,New Delhi,Noida,3,1/19/2010,2008-04,2,2008-Q2,2010,7/1/2012,10/23/2013,0,44000000,0,0,0,0,0,0,21000000,0,0,0,0,0,0,0,0,0,0,0,0
hoopos.com, E-Commerce , NA   ,acquired,IND,Bangalore,Bangalore,1,1/21/2010,2011-01,1,2011-Q1,2010,7/1/2012,10/1/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoopz Planet Info, Content ,1000000,operating,IND,Pune,Pune,1,2/12/2010,2011-03,1,2011-Q1,2010,7/1/2012,8/1/2011,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotelogix, Hotels ,3000000,operating,IND,New Delhi,Noida,2,2/28/2010,2008-01,1,2008-Q1,2010,7/1/2012,11/14/2014,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HotelsAroundYou, Hotels , NA   ,operating,IND,Mumbai,Mumbai,1,3/1/2010,,,,2010,7/10/2012,10/27/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing.com, Real Estate ,139500000,operating,IND,Mumbai,Mumbai,4,3/10/2010,2012-06,2,2012-Q2,2010,7/17/2012,11/19/2014,2500000,37000000,0,0,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0,0,0,0
Hungama Digital Media Entertainment Pvt. Ltd., Games ,40000000,operating,IND,Mumbai,Mumbai,1,3/10/2010,1999-04,2,1999-Q2,2010,7/17/2012,7/4/2014,0,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hurix Systems Private, Software ,5100000,operating,IND,Mumbai,Mumbai,1,3/17/2010,2001-01,1,2001-Q1,2010,7/17/2012,10/3/2007,0,5100000,0,0,0,0,0,0,0,0,0,0,0,0,5100000,0,0,0,0,0,0
i'mma, E-Commerce ,125000,closed,IND,Mumbai,Mumbai,1,3/22/2010,2013-08,3,2013-Q3,2010,7/30/2012,7/8/2013,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i7 Networks, Security ,300000,operating,IND,Bangalore,Bangalore,1,3/30/2010,2012-06,2,2012-Q2,2010,7/31/2012,8/20/2012,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iBloom Technologies, Curated Web , NA   ,closed,IND,Ahmedabad,Ahmedabad,1,4/1/2010,2009-05,2,2009-Q2,2010,8/1/2012,5/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBS Software Services (P), Software ,60000000,acquired,IND,Trivandrum,Trivandrum,1,4/1/2010,1997-01,1,1997-Q1,2010,8/1/2012,7/26/2007,0,0,0,0,0,0,0,0,60000000,0,0,0,0,0,0,0,0,0,0,0,0
Icecreamlabs,, NA   ,operating,IND,Bangalore,Bangalore,1,4/1/2010,2013-01,1,2013-Q1,2010,8/1/2012,5/1/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iCreate Software, Software ,12430000,operating,IND,Bangalore,Bangalore,2,4/19/2010,2006-01,1,2006-Q1,2010,8/1/2012,12/12/2012,0,12430000,0,0,0,0,0,0,0,0,0,0,0,3230000,9200000,0,0,0,0,0,0
iD Fresh Food,,5700000,operating,IND,Bangalore,Bengaluru,1,5/16/2010,2006-01,1,2006-Q1,2010,8/6/2012,10/31/2014,0,5700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idea Device, Data Centers ,4000000,operating,IND,Bangalore,Bangalore,1,6/1/2010,2009-01,1,2009-Q1,2010,8/9/2012,10/9/2013,0,4000000,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0
ideacts innovations, Advertising ,5000000,operating,IND,Mumbai,Mumbai,1,6/1/2010,,,,2010,8/9/2012,7/3/2008,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ideaForge, Photography ,125000,operating,IND,Mumbai,Mumbai,2,6/1/2010,2007-02,1,2007-Q1,2010,8/10/2012,1/12/2011,0,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFMR Capital, Finance ,29000000,operating,IND,Chennai,Chennai,1,6/1/2010,2006-01,1,2006-Q1,2010,8/13/2012,3/31/2014,0,29000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFMR Rural Channels and Services, Finance ,5000000,operating,IND,Chennai,Chennai,1,7/2/2010,2006-01,1,2006-Q1,2010,8/15/2012,10/24/2013,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0
igadget.asia, News ,"10,000",closed,IND,Mumbai,Mumbai,1,9/1/2010,2012-01,1,2012-Q1,2010,8/20/2012,1/1/2012,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignis IT Solutions, E-Commerce ,"50,000",operating,IND,Indore,Indore,1,9/6/2010,2013-01,1,2013-Q1,2010,9/1/2012,8/9/2013,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0
iKaaz, NFC , NA   ,operating,IND,Bangalore,Bangalore,2,9/19/2010,2012-07,3,2012-Q3,2010,9/1/2012,1/30/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iKen Solutions Pvt. Ltd., Content Discovery ,2000000,operating,IND,Mumbai,Mumbai,1,9/20/2010,2005-01,1,2005-Q1,2010,9/1/2012,1/1/2007,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iKure Techsoft, Software ,115000,operating,IND,Kolkata,Kolkata,1,10/1/2010,2010-04,2,2010-Q2,2010,9/11/2012,3/9/2014,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMAGINATE - Technovating Reality, Software ,"40,000",operating,IND,Hyderabad,Hyderabad,1,10/1/2010,2011-01,1,2011-Q1,2010,9/13/2012,8/10/2012,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMImobile, Mobile ,26000000,operating,IND,Hyderabad,Hyderabad,3,11/3/2010,1999-01,1,1999-Q1,2010,9/16/2012,11/13/2009,0,26000000,0,0,0,0,0,0,0,0,0,0,0,3000000,10000000,0,0,0,0,0,0
Incap, Manufacturing ,2587000,operating,IND,Bangalore,Bangalore,1,12/3/2010,,,,2010,9/24/2012,11/26/2008,0,2587000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InCights Mobile Solutions, Software ,160000,operating,IND,Hyderabad,Hyderabad,1,12/8/2010,2010-01,1,2010-Q1,2010,9/28/2012,11/13/2013,0,0,0,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India Online Health, Medical , NA   ,operating,IND,Pune,Pune,1,12/9/2010,2011-08,3,2011-Q3,2010,10/1/2012,2/18/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India Property Online, E-Commerce ,19000000,operating,IND,Chennai,Chennai,2,12/13/2010,2012-01,1,2012-Q1,2010,10/13/2012,12/19/2013,0,19000000,0,0,0,0,0,0,0,0,0,0,0,7000000,12000000,0,0,0,0,0,0
IndiaEver.com, Music ,"20,000",closed,IND,New Delhi,New Delhi,1,12/28/2010,2012-08,3,2012-Q3,2010,10/15/2012,9/13/2012,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiaHomes, Curated Web ,74800000,operating,IND,New Delhi,New Delhi,2,1/1/2011,,,,2011,10/15/2012,12/2/2014,0,74800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiaIdeas, Finance ,7500000,operating,IND,Ahmedabad,Ahmedabad,1,1/1/2011,,,,2011,10/17/2012,6/22/2006,0,7500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiaMART, Services , NA   ,operating,IND,New Delhi,Noida,1,1/1/2011,1996-04,2,1996-Q2,2011,10/22/2012,1/14/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndianRoots, Internet ,5000000,operating,IND,New Delhi,Gurgaon,1,1/1/2011,2013-01,1,2013-Q1,2011,10/23/2012,9/7/2014,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0
IndianStage, Photography , NA   ,operating,IND,Bangalore,Bangalore,1,1/1/2011,,,,2011,10/23/2012,2/17/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indium Software Inc., Software ,1000000,operating,IND,Chennai,Chennai,1,1/1/2011,,,,2011,10/23/2012,4/21/2006,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indus Insights, E-Commerce , NA   ,operating,IND,Haryana,Haryana,1,1/1/2011,2009-01,1,2009-Q1,2011,10/24/2012,8/5/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndusDiva.com, E-Commerce , NA   ,operating,IND,Bangalore,Bangalore,2,1/1/2011,2012-01,1,2012-Q1,2011,10/30/2012,1/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indyarocks, Social Media ,1000000,operating,IND,Hyderabad,Hyderabad,1,1/1/2011,2007-06,2,2007-Q2,2011,10/31/2012,11/15/2008,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infoBizz, Software , NA   ,operating,IND,IND - Other,Meerut,1,1/1/2011,2008-11,4,2008-Q4,2011,11/1/2012,11/7/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infogile Technologies, Software ,"20,000",operating,IND,New Delhi,Gurgaon,1,1/1/2011,2007-05,2,2007-Q2,2011,11/7/2012,5/4/2007,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infrasoft Technologies, Software ,24800000,operating,IND,Mumbai,Mumbai,1,1/1/2011,1994-01,1,1994-Q1,2011,11/15/2012,7/11/2007,0,24800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovis, Telecommunications , NA   ,operating,IND,New Delhi,Gurgaon,1,1/1/2011,2009-01,1,2009-Q1,2011,11/20/2012,12/12/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innoviti, Finance ,1600000,operating,IND,Bangalore,Bangalore,1,1/1/2011,2002-01,1,2002-Q1,2011,11/26/2012,3/20/2014,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innoz, Apps , NA   ,operating,IND,Bangalore,Bangalore,1,1/1/2011,2008-09,3,2008-Q3,2011,11/30/2012,4/1/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InOpen, Education , NA   ,operating,IND,Mumbai,Mumbai,2,1/1/2011,2009-10,4,2009-Q4,2011,12/1/2012,11/24/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insightwall Technology Solutions, Software , NA   ,operating,IND,Bangalore,Bangalore,1,1/1/2011,2014-09,3,2014-Q3,2011,12/1/2012,9/19/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instamedia, Curated Web ,4000000,operating,IND,IND - Other,Shimla,1,1/1/2011,2006-08,3,2006-Q3,2011,12/10/2012,9/9/2010,0,4000000,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0
Instamojo, Payments ,500000,operating,IND,Mumbai,Mumbai,3,1/1/2011,2012-09,3,2012-Q3,2011,12/21/2012,11/13/2014,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inTarvo, Outsourcing ,21900000,operating,IND,New Delhi,Noida,2,1/1/2011,1995-01,1,1995-Q1,2011,1/1/2013,9/17/2009,0,21900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IntelleGrow Finance, Finance ,4500000,operating,IND,Mumbai,Mumbai,1,1/1/2011,2010-01,1,2010-Q1,2011,1/1/2013,3/5/2014,0,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IntelligenceNODE,,350000,operating,IND,Mumbai,Mumbai,1,1/1/2011,,,,2011,1/1/2013,5/1/2014,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intelloCut, Software ,200000,operating,IND,New Delhi,Noida,1,1/1/2011,2012-01,1,2012-Q1,2011,1/1/2013,2/9/2014,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intepat IP Services, Finance ,"10,000",operating,IND,Bangalore,Bangalore,1,1/1/2011,,,,2011,1/1/2013,9/1/2009,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterpretOmics, Analytics ,1600000,operating,IND,Bangalore,Bangalore,1,1/1/2011,2009-08,3,2009-Q3,2011,1/3/2013,8/13/2013,0,0,0,0,0,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interview Master, Human Resources , NA   ,operating,IND,Bangalore,Bangalore,3,1/1/2011,2012-05,2,2012-Q2,2011,1/8/2013,1/30/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iNurture, Education ,4897824,operating,IND,Bangalore,Bangalore,1,1/1/2011,2005-01,1,2005-Q1,2011,1/9/2013,10/30/2014,4897824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invictus Oncology, Biotechnology ,1880000,operating,IND,Delhi,Delhi,1,1/1/2011,2011-01,1,2011-Q1,2011,1/10/2013,5/28/2013,0,1880000,0,0,0,0,0,0,0,0,0,0,0,1880000,0,0,0,0,0,0,0
iPG Maxx Entertainment India (P) Ltd, Film ,500000,,IND,Andhra Pradesh,,1,1/1/2011,2014-04,2,2014-Q2,2011,1/10/2013,5/15/2014,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iPolicy Networks, Security ,44000000,operating,IND,New Delhi,Noida,2,1/1/2011,,,,2011,1/10/2013,1/1/2006,0,44000000,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0
iProf Learning Solutions, Education ,15000000,operating,IND,New Delhi,Noida,2,1/1/2011,2009-01,1,2009-Q1,2011,1/25/2013,1/23/2014,0,15000000,0,0,0,0,0,0,0,0,0,0,0,6000000,9000000,0,0,0,0,0,0
iSTAR, Education , NA   ,operating,IND,Bangalore,Bengaluru,1,1/1/2011,2009-01,1,2009-Q1,2011,1/31/2013,4/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iTiffin, Health Care ,1000000,operating,IND,Bangalore,Bangalore,1,1/1/2011,2013-01,1,2013-Q1,2011,2/1/2013,8/28/2014,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ItzCash Card Ltd., Gift Card ,15000000,operating,IND,Mumbai,Mumbai,1,1/1/2011,2006-01,1,2006-Q1,2011,2/8/2013,9/2/2014,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0
Ivy Health and Life Sciences, Health and Wellness ,12100000,operating,IND,Mohali,Mohali,1,1/1/2011,2007-01,1,2007-Q1,2011,2/10/2013,6/11/2013,0,12100000,0,0,0,0,0,0,0,0,0,0,0,12100000,0,0,0,0,0,0,0
ixigo.com, Hotels ,18500000,operating,IND,New Delhi,Gurgaon,3,1/1/2011,2006-06,2,2006-Q2,2011,2/12/2013,8/11/2011,0,0,0,18500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iYogi, Hardware ,85600000,operating,IND,New Delhi,Gurgaon,5,1/1/2011,2007-01,1,2007-Q1,2011,2/14/2013,5/8/2014,0,85600000,0,0,0,0,0,0,0,0,0,0,0,3100000,9500000,15000000,30000000,28000000,0,0,0
J Kumar Infraprojects, Real Estate ,22800000,operating,IND,Mumbai,Mumbai,1,1/1/2011,1980-01,1,1980-Q1,2011,2/15/2013,7/24/2014,0,0,0,0,0,0,0,0,22800000,0,0,0,0,0,0,0,0,0,0,0,0
Jabong.com, Beauty ,27500000,operating,IND,New Delhi,Gurgaon,1,1/11/2011,2012-01,1,2012-Q1,2011,2/17/2013,2/5/2014,0,27500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack On Block,, NA   ,operating,IND,Bangalore,Bangalore,1,1/11/2011,2012-01,1,2012-Q1,2011,2/18/2013,4/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janalakshmi, Finance ,57000000,operating,IND,Bangalore,Bangalore,1,1/14/2011,2006-01,1,2006-Q1,2011,2/19/2013,8/14/2013,0,57000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000000,0,0,0,0
Jasper, E-Commerce ,102000000,,IND,New Delhi,New Delhi,3,2/1/2011,,,,2011,2/21/2013,4/28/2014,0,102000000,0,0,0,0,0,0,0,0,0,0,0,12000000,40000000,50000000,0,0,0,0,0
Jaypore, Marketplaces ,375000,operating,IND,New Delhi,New Delhi,1,2/1/2011,2012-01,1,2012-Q1,2011,2/25/2013,9/4/2011,375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeeves, Hardware + Software , NA   ,operating,IND,Bangalore,Bangalore,1,2/2/2011,2007-01,1,2007-Q1,2011,3/1/2013,6/21/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiffstore, Retail , NA   ,operating,IND,Bangalore,Bangalore,1,2/7/2011,2013-01,1,2013-Q1,2011,3/1/2013,5/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jigsee, Video Streaming , NA   ,acquired,IND,Mumbai,Mumbai,2,2/14/2011,2008-04,2,2008-Q2,2011,3/1/2013,2/14/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoGuru, Travel ,200000,operating,IND,Pune,Pune,1,2/15/2011,2011-09,3,2011-Q3,2011,3/1/2013,10/5/2010,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just Dial, Search ,67000000,,IND,Mumbai,Mumbai,2,2/15/2011,1997-11,4,1997-Q4,2011,3/8/2013,6/27/2012,0,67000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000000,0,0,0
K-12 Techno Services, Education ,15000000,operating,IND,Secunderabad,Secunderabad,1,3/1/2011,,,,2011,3/13/2013,9/8/2010,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K2 Learning, Education ,1300000,operating,IND,Bangalore,Bangalore,1,3/1/2011,2009-01,1,2009-Q1,2011,3/15/2013,10/18/2013,0,0,0,0,0,0,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalyan Jewellers, Jewelry ,200000000,operating,IND,IND - Other,,1,3/22/2011,1993-01,1,1993-Q1,2011,4/1/2013,8/26/2014,0,0,0,0,0,0,0,0,200000000,0,0,0,0,0,0,0,0,0,0,0,0
Kapsica Media, Advertising , NA   ,operating,IND,Pune,Pune,1,3/28/2011,2011-09,3,2011-Q3,2011,4/1/2013,3/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karma Recycling, Software , NA   ,operating,IND,New Delhi,New Delhi,1,4/1/2011,2012-01,1,2012-Q1,2011,4/1/2013,10/9/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KarmYog Media, News , NA   ,operating,IND,Kolkata,Kolkata,1,4/1/2011,,,,2011,4/2/2013,3/19/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KartRocket, SaaS ,2000000,operating,IND,New Delhi,New Delhi,2,5/1/2011,2012-01,1,2012-Q1,2011,4/3/2013,10/21/2014,0,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0
Ketto, Curated Web ,150000,operating,IND,Mumbai,Mumbai,1,5/1/2011,2012-08,3,2012-Q3,2011,4/10/2013,11/18/2013,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keyideas Infotech (P) Limited, Web Development ,1000000,operating,IND,New Delhi,New Delhi,1,5/1/2011,2009-08,3,2009-Q3,2011,4/10/2013,1/10/2013,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knimbus, Messaging ,500000,operating,IND,New Delhi,Gurgaon,1,5/1/2011,2010-06,2,2010-Q2,2011,4/15/2013,7/4/2013,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knottykart, E-Commerce ,160000,operating,IND,New Delhi,Noida,1,5/9/2011,,,,2011,4/24/2013,2/4/2014,0,0,0,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knowlarity Communications, Software ,22500000,operating,IND,New Delhi,Gurgaon,3,5/10/2011,2009-08,3,2009-Q3,2011,4/25/2013,7/28/2014,0,22500000,0,0,0,0,0,0,0,0,0,0,0,6500000,16000000,0,0,0,0,0,0
Komli Media, Advertising ,97000000,operating,IND,Mumbai,Mumbai,5,5/10/2011,2006-10,4,2006-Q4,2011,5/1/2013,10/24/2013,0,67000000,0,0,0,0,0,0,30000000,0,0,0,0,7000000,6000000,15000000,39000000,0,0,0,0
Konotor, Apps ,155000,operating,IND,Chennai,Chennai,2,5/12/2011,2013-08,3,2013-Q3,2011,5/9/2013,5/26/2014,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotak Urja, Clean Technology ,8000000,operating,IND,Bangalore,Bangalore,1,6/1/2011,1997-01,1,1997-Q1,2011,5/9/2013,11/10/2008,0,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krishidhan Seeds, Biotechnology ,30000000,operating,IND,IND - Other,Jalna,1,6/1/2011,,,,2011,5/10/2013,5/7/2010,0,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSK Power Venture, Clean Technology ,97430000,operating,IND,Hyderabad,Hyderabad,1,6/1/2011,,,,2011,5/13/2013,6/16/2008,0,0,0,0,0,0,0,0,97430000,0,0,0,0,0,0,0,0,0,0,0,0
Kuliza, Social Commerce , NA   ,operating,IND,Bangalore,Bangalore,1,6/1/2011,2006-09,3,2006-Q3,2011,5/14/2013,8/29/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
